Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: File younghee.mem referenced on C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/VGA/QVGA_MemController.sv at line 55 cannot be opened for reading. Please ensure that this file is available in the current working directory.
time	reset	busy	DE	Hsync	Vsync	pixel_clk
                   0	1	x	1	1	1	0
              100000	0	x	1	1	1	0
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(0)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(1)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(2)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
              140000	0	x	1	1	1	1
              180000	0	x	1	1	1	0
              240000	0	1	1	1	1	0
             2380000	0	1	1	1	1	1
             2400000	0	1	1	1	1	0
             2420000	0	1	1	1	1	1
             2440000	0	1	1	1	1	0
             2460000	0	1	1	1	1	1
             2480000	0	1	1	1	1	0
             2500000	0	1	1	1	1	1
             2520000	0	1	1	1	1	0
             2540000	0	1	1	1	1	1
             2560000	0	1	1	1	1	0
             2580000	0	1	1	1	1	1
             2600000	0	1	1	1	1	0
             2620000	0	1	1	1	1	1
             2640000	0	1	1	1	1	0
             2660000	0	1	1	1	1	1
             2680000	0	1	1	1	1	0
             2700000	0	1	1	1	1	1
             2720000	0	1	1	1	1	0
             2740000	0	1	1	1	1	1
             2760000	0	1	1	1	1	0
             2780000	0	1	1	1	1	1
             2800000	0	1	1	1	1	0
             2820000	0	1	1	1	1	1
             2840000	0	1	1	1	1	0
             2860000	0	1	1	1	1	1
             2880000	0	1	1	1	1	0
             2900000	0	1	1	1	1	1
             2920000	0	1	1	1	1	0
             2940000	0	1	1	1	1	1
             2960000	0	1	1	1	1	0
             2980000	0	1	1	1	1	1
             3000000	0	1	1	1	1	0
             3020000	0	1	1	1	1	1
             3040000	0	1	1	1	1	0
             3060000	0	1	1	1	1	1
             3080000	0	1	1	1	1	0
             3100000	0	1	1	1	1	1
             3120000	0	1	1	1	1	0
             3140000	0	1	1	1	1	1
             3160000	0	1	1	1	1	0
             3180000	0	1	1	1	1	1
             3200000	0	1	1	1	1	0
             3220000	0	1	1	1	1	1
             3240000	0	1	1	1	1	0
             3260000	0	1	1	1	1	1
             3280000	0	1	1	1	1	0
             3300000	0	1	1	1	1	1
             3320000	0	1	1	1	1	0
             3340000	0	1	1	1	1	1
             3360000	0	1	1	1	1	0
             3380000	0	1	1	1	1	1
             3400000	0	1	1	1	1	0
             3420000	0	1	1	1	1	1
             3440000	0	1	1	1	1	0
             3460000	0	1	1	1	1	1
             3480000	0	1	1	1	1	0
             3500000	0	1	1	1	1	1
             3520000	0	1	1	1	1	0
             3540000	0	1	1	1	1	1
             3560000	0	1	1	1	1	0
             3580000	0	1	1	1	1	1
             3600000	0	1	1	1	1	0
             3620000	0	1	1	1	1	1
             3640000	0	1	1	1	1	0
             3660000	0	1	1	1	1	1
             3680000	0	1	1	1	1	0
             3700000	0	1	1	1	1	1
             3720000	0	1	1	1	1	0
             3740000	0	1	1	1	1	1
             3760000	0	1	1	1	1	0
             3780000	0	1	1	1	1	1
             3800000	0	1	1	1	1	0
             3820000	0	1	1	1	1	1
             3840000	0	1	1	1	1	0
             3860000	0	1	1	1	1	1
